Title,Rating,Description,Country,Episodes,Year,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Cast1,Cast2,Cast3,Cast4,Cast5,Cast6
Cook Everything School ,3.0,a culinary school found with ambition to raise chefs who can satisfy global citizens use ordinary ingredients to create dishes of various countries and learn recipes that even the people with fear of cooking can easily imitate on top of everything famous chefs and homemade meal experts share their secret knowhows,korean,30,2018,drama , comedy , fantasy , food , game-show , kshow ,,,,,,
My Daughter's Men Season 3 ,3.5,dads are watching celebrity dads watch as their daughters on a date in real time as the dads observe what kind of men their daughters like and how they interact with guys they gain a whole new insight on their daughters and their bonds grow stronger,korean,16,2018,drama , detective , game-show , kshow , korean ,drama ,lee soo geun, lee kwang kifather, shin hyun joon, so jin, jang gwangfather, kim hee chul
I’m Not a Robot ,3.5,a man has never had a girlfriend due to his allergy of other people he meets a robot and falls in love with the robot,korean,32,2017,drama , romance , sci-fi , korean ,drama ,drama ,chae soo binjo ji ahmain role, jung dae yoondirector, uhm ki joonhong baek gyunmain role, yoo seung hokim min kyumain role, hwang seung eonmain role,chae soo binjo ji ahmain role
Today Tomorrow ,2.5,after spending their 20s and 30s in a competitive society these celebrity men in their 40s and 50s are feeling like theres something wrong with their bodies their aging bodies are now more vulnerable to various diseases because of unhealthy eating habits lack of exercise and stress in this program these men travel to the countryside to immerse themselves in plenty of sunshine and fresh air in addition to enjoying their stressrelieving trip they learn about common diseases and helpful tips for staying healthy,korean,56,2018,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
What's Wrong With Secretary Kim ,3.5,its revolves around a cocky vice president who is narcissist and his highly capable secretary of nine years,korean,16,2018,drama , business , romance , korean ,drama ,drama ,,,,,,
The Dream Job ,3.0,a mysterious wealthy man offers three people a lucrative unusual job that may be too good to be true live the high life as his children and heirs,korean,30,2016,drama , comedy , family , fantasy , kshow , korean ,,,,,,
Law of the Jungle in Mexico ,3.0,mexico the country where primitive nature is beautifully preserved the 37th season of law of the jungle takes place in the caribbean sea will the members be able to survive the jungle on their very first survival mission on a boat,korean,40,2018,drama , kshow , korean ,drama ,drama ,drama ,,,,,,
Hitman  ,3.0,roads of planning to have excellent sme products in korea and to go out to foreign countries its a global sales variety its new to selling things in entertainment from the hitman miraculously i have taken several tailmade products and have taken pictures,korean,40,2018,drama , comedy , fantasy , game-show , kshow , korean ,,,,,,
Mysterious Personal Shopper ,3.0,hong se yeon works as a personal shopper she is outgoing and a positive person but she is betrayed by people whom she loved she begins to take revenge on those who betrayed her meanwhile eun kyung hye is the only child of a ceo her life looks perfect but she has a fear that she will get abandoned because of her fear she has an impulse control disorder and gets compulsive,korean,103,2018,drama , comedy , drama , romance , korean ,drama , support role, kim ki doohong cheol soosupport role, kim kwang youngsupport role, yoo seo jinsupport role, wang bit naeun kyung hyemain role, lee eun hyunglee jae soonmain role
My Mathematics Puberty ,3.5,my mathematics puberty deals with celebrities who gave up on math during their school days revisiting the subject in order to overcome their limits ,korean,35,2018,drama , comedy , game-show , kshow , music , school ,park ji yoon,park ji yoon,park ji yoon,park ji yoon,park ji yoon,park ji yoon
In a Moment ,1.5,the stars of delicious guys eat with those who eat alone lee sangmin shares his stories as he eats and celebrities give the gift of vacation to those who are overworked if you are weary watching this show will give you energy to go on,korean,300,2018,drama , comedy , fantasy , game-show , kshow , korean ,,,,,,
Idol Work Diary Good Job Season 2 ,2.5,idol work diary is back with a more powerful season watch the charming lovelyz members as they try their hands at becoming fashion designers,korean,300,2018,drama , adventure , comedy , fantasy , korean ,drama ,,,,,,
Handsome Guy and Jung Eum ,3.5,this drama tells the story of a handsome and charming guy who is an expert of romance theories but not interested in love itself meets a former athlete whom after giving up her love because of harsh reality decides to be a relationship counselor to make up for it the drama portrays how they learn from each other to find a balance between theory and reality in love ,korean,32,2018,drama , drama , romance , korean ,drama ,drama ,nam kyung eupsupport role, , jung moon sungsupport role, support role, lee jae yoonscreenwriter, choi tae joonchoi jun soomain role
Come and Hug Me ,3.5,this drama is about a man and a woman who are emotionally scarred due to a murder case that took place in their past has their fates intertwined together they try to overcome the inevitable challenges that life throws at them,korean,32,2018,drama , crime , drama , romance , korean ,drama , park soo youngpyo taeksupport role, support role, nam da reumchae do jin support role, yoon hyun moosupport role, yoon jong hoongil moo wonsupport role, park soo youngpyo taeksupport role
To.Jenny ,3.5,jung min falls into unrequited love with a woman she is in a difficult situation but chooses to continue pursuing her dream ,korean,2,2018,drama , comedy , fantasy , romance , korean ,drama ,park mi sunkim mi oksupport role, kim sung chulpark jung minmain role, choi yoo ripark ok heesupport role, yang ik junkim hyung soosupport role, jung chae yeonkwon na ramain role, lee sang yiyum dae sungsupport role
War on Obesity Fun Weight Loss ,3.5,fun weight loss helps three obese celebrities for 49 days so that they can reach and maintain a healthy weight for a happier healthier life,korean,37,2018,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Travel Girl ,3.0,a travel program for women the program visits six regions of taiwan exploring the unique culture in each region and meeting the hidden experts,korean,300,2018,drama , comedy , fantasy , game-show , kshow , korean ,,,,,,
The Secret Garden ,2.5,the secret garden hosted by jeong hyeong don sung si kyung and jung yoon ju coupled with criminal psychologist lee soo jung psychiatry specialist yang jae ung and jo yeong eun this show aims to analyse and understand the mentality and personality aspects of the invited guests of each episode,korean,40,2018,drama , comedy , documentary , medical , psychological , youth ,jang yoon ju, , lee soo kyungep 3,4, kim jung hoonep 5,6
Investigation Couple ,3.0,baek bum jung jae young is a forensic doctor with 10 years of experience at the national forensic service although his skills are recognized and he has performed the most autopsies in korea he is eccentric and has a picky personality meanwhile eun sol jung yoo mi is a prosecutor working in the 8th eastern district as she was born into a wealthy family and possesses photographic memory the detective is a warm sensitive character who aims to connect with peoples hearts and pursue the truth,korean,32,2018,drama , crime , law , medical , mystery , korean ,jung jae youngbaek beommain role, ahn suk hwansupport role, joo jin mosupport role, jung yoo mieun solmain role, park eun seokkang hyunsupport role, lee yi kyungcha soo homain role
Wok of Love ,3.5,chef seo poong lee joon ho was once a star chef and worked at the best chinese restaurant his popularity faded and he eventually wound up working at a small failing chinese restaurant meanwhile doo chil sung jang hyuk is the owner of a building he is an exgang member and he was in jail for 5 years,korean,38,2018,drama , food , romance , korean ,drama ,drama , lee jun hoseo poongmain role, lee ki hyuknah oh jiksupport role, support role, cha joo youngsupport role, jang hee ryunglee bun hongsupport role, lee mi sookjin jung hae mysterious womansupport role
